ID,HR,rMSSD,pNN50,SDNN,HF,LF,LFHF,Time
9_64_11_0,96.13738555,69.05490475,25.14619883,78.72741431,563.6303359,1232.063485,2.185942464,119.099844
10_27_50_0,96.04090771,50.29902704,4.294478528,87.03173677,53.08939338,188.2923536,3.546703807,114.8469234
10_27_47_0,96.00756478,19.84538142,2.116402116,27.91534283,107.6916195,71.95550284,0.66816251,118.6877804
10_27_47_2,95.33383901,22.58435453,5.319148936,46.62825831,133.7659096,186.0785313,1.391075887,118.6275633
9_93_21_4,95.29696328,25.54217791,2.352941176,35.00561145,40.14262462,28.61290676,0.712781166,118.4344539
10_62_47_1,95.12132922,20.64249732,3.743315508,49.5747822,86.71495714,211.1710942,2.435232643,119.076823
9_62_45_2,94.91298847,32.96189747,11.11111111,63.02200421,277.9852707,910.0672331,3.273796596,119.0876117
9_64_21_0,94.76642558,31.61667556,13.63636364,55.48537725,97.92592784,66.63058364,0.680418201,103.9819916
9_65_11_0,94.68695225,20.73997239,1.948051948,23.74833137,39.70793364,63.20802499,1.591823578,118.6097402
9_87_11_2,94.65918952,13.67661011,0.543478261,27.39906042,13.31895739,24.48277082,1.838189739,118.7618954
9_66_21_1,94.5486801,20.19713561,3.488372093,28.99483667,58.32326334,97.74202563,1.675866885,118.9437441
10_5_47_1,94.46098183,27.01664441,6.50887574,38.04265766,143.3985243,230.766718,1.609268429,117.4043737
9_94_11_2,94.2553449,16.41598446,0.540540541,27.71974878,18.45607902,150.0847601,8.131995962,118.7969405
9_8_21_4,94.1325714,59.07741741,48.71794872,45.54837887,391.9312926,194.1948365,0.495481836,119.0399354
10_83_47_2,93.99253453,20.19860709,3.225806452,34.67155257,75.05729622,118.7830965,1.58256562,118.8032828
9_8_21_7,93.6866732,103.8033386,54.38596491,86.18345732,318.1151505,44.19817543,0.138937663,118.5693031
9_8_21_5,93.62292763,62.13701737,51.92307692,55.23651238,297.4141556,369.2901309,1.241669651,118.3890609
9_8_21_6,93.62133994,67.94907299,50.87719298,49.95110587,178.1291764,163.2016806,0.916198479,119.0599623
9_65_11_1,93.49572202,22.09000719,2.027027027,30.04413586,55.48172013,83.06694255,1.497194794,116.9130341
9_8_21_1,93.49174906,89.40617828,53.14285714,63.61693486,742.2321567,640.5425961,0.862994941,118.6894645
9_29_11_1,93.4612279,30.01434062,12.12121212,31.22365302,159.0596484,271.4653317,1.706688871,118.6164379
9_80_11_1,93.38913754,18.73127526,2.747252747,42.04286771,21.7799837,38.25611642,1.756480488,118.5846531
10_5_47_2,93.3871725,24.71293223,5.464480874,30.90465384,68.70180662,77.69756874,1.130939237,118.9202404
10_27_50_1,93.35851263,21.71922545,2.732240437,48.90985098,49.06795732,427.5509505,8.713445063,119.0321167
10_62_47_0,93.16989422,28.43893915,6.024096386,48.97728159,87.26913584,621.3256488,7.11964938,118.9460136
9_66_21_3,93.06937321,19.4925813,3.448275862,26.91030926,64.01548076,62.53188662,0.976824447,118.5714474
10_62_50_2,92.79767628,24.2280846,4.371584699,48.51272763,180.6528508,351.8417823,1.947612676,118.6719443
10_5_47_0,92.70924198,34.26341622,19.29824561,44.28222366,109.9598392,328.8654442,2.990777785,118.8298907
10_24_47_2,92.55445883,66.51234101,15.12605042,86.5852753,91.7152169,313.9513255,3.423110538,118.7769834
9_62_45_3,92.54716655,33.44840805,8.620689655,56.19531311,433.6964187,572.0249705,1.318952488,118.5185311
10_62_47_2,92.51919222,23.78110138,3.867403315,36.40812705,75.82816308,329.9455905,4.351227526,119.0868852
9_94_11_1,92.50914956,14.39057013,0.549450549,29.86908881,12.05546034,76.5976584,6.353772997,118.9167659
9_62_21_4,92.46240129,28.29226295,3.825136612,45.00078046,310.6557694,524.6595822,1.688877639,118.9107611
9_94_21_1,92.44308131,13.45326828,0.543478261,16.55582944,7.655669181,19.12375409,2.497985955,118.9455409
10_83_47_0,92.4086204,28.04079351,6.896551724,45.31037421,162.5421901,253.4378505,1.559212721,118.7231322
9_8_21_0,92.0966208,75.99385838,62.5,56.7485829,433.754401,431.3902296,0.994549516,119.0499489
10_62_50_0,92.06831945,26.0233933,5.555555556,45.40500319,141.2000826,164.6104307,1.16579557,118.9637441
9_50_21_2,91.98351268,24.80509653,2.222222222,30.24675205,140.4316331,33.41170858,0.237921527,118.9436568
9_66_21_4,91.91809861,19.32569739,2.777777778,31.27282533,47.11752741,285.5671735,6.060741919,119.0041165
10_83_47_1,91.90820999,31.51084483,10.79545455,51.37941378,208.6136056,465.4931722,2.231365355,118.8734147
10_27_47_1,91.84105324,25.39191186,4.395604396,43.53648603,88.47085769,293.6857225,3.319575849,119.0791911
10_62_50_1,91.73835732,22.63653087,3.333333333,32.80102917,74.26088322,195.7629719,2.636151948,118.8933096
10_27_50_3,91.63815315,26.5643875,6.077348066,42.93013828,71.4609114,262.1776395,3.668825856,119.1224446
9_62_21_7,91.62046558,26.7253538,3.488372093,53.99011419,153.3011321,147.8564741,0.964483902,118.7110453
9_62_21_5,91.59254917,24.92163651,1.142857143,40.8899416,90.86210888,315.9360063,3.477093039,118.7909316
9_50_21_1,91.53813808,23.04402603,1.923076923,27.44551208,118.0108852,28.09023631,0.238030892,118.644126
10_27_50_2,91.45344179,25.54421083,9.444444444,42.94084242,104.2842099,190.0427126,1.822353669,118.439967
9_29_11_0,91.33960495,30.92887413,13.52941176,42.69035902,150.9405606,590.905207,3.914820541,119.0175757
9_8_11_1,91.2416615,93.47887473,61.19402985,90.25674763,860.2697213,1734.644355,2.016395918,118.9941713
10_3_47_0,91.17653122,86.54230399,6.818181818,79.36833831,205.033842,711.3319294,3.469339121,119.0555186
9_50_21_3,91.15359226,27.20114096,1.111111111,35.04654334,104.1963893,81.96214867,0.786612177,118.6740791
9_80_21_0,91.14151631,22.48544274,5.172413793,29.86673325,15.61762695,88.78920498,5.685191821,118.6159651
9_66_21_5,91.10282233,22.89014224,4.519774011,42.51176752,72.1962852,50.30913245,0.696838242,118.8330613
9_62_45_1,91.05595627,32.06884794,7.185628743,61.66743477,382.2360127,837.9535784,2.192241313,118.7281924
10_3_47_1,91.03636142,18.41598596,0.751879699,21.29605384,29.4329687,42.60452078,1.447510145,114.9013691
9_8_21_2,90.96964947,76.30026576,60.36585366,51.69219391,359.2512039,175.5656735,0.488698915,118.4992089
9_39_11_1,90.92702466,20.82973683,3.125,35.55056683,42.08917788,85.1331446,2.022684901,118.4893816
9_83_11_1,90.75840473,30.2489914,12.99435028,48.18189472,290.2173745,270.3875976,0.931672675,118.5578389
9_66_21_6,90.75771091,24.43717528,3.389830508,33.42993731,122.57133,92.21489662,0.752336591,118.8733096
9_93_21_5,90.75380938,28.01812439,5.617977528,41.33297965,184.8540145,341.849292,1.849293309,118.4444407
10_49_47_2,90.73936663,76.34887048,20.54794521,75.74882996,165.8409128,197.5878072,1.19142981,117.8903658
9_83_21_4,90.72129279,26.53478295,7.82122905,41.23738893,212.9991658,202.0359682,0.948529387,118.9254644
9_64_21_5,90.71997875,30.75624396,13.79310345,40.1976561,223.8666676,107.4647258,0.480038976,119.1542068
10_104_50_1,90.70765136,18.92954844,0.561797753,25.7700852,47.73338406,114.1370266,2.391136285,118.4825378
9_31_11_0,90.64159422,17.20911638,1.675977654,37.31910124,89.33268387,298.6219011,3.342806778,119.0001536
9_63_21_2,90.63618568,19.96708163,2.840909091,29.71937875,26.18072422,126.5914969,4.835293928,118.4553182
9_62_21_0,90.57390674,23.70134753,1.863354037,45.85602344,106.3083206,52.01903407,0.48932232,118.5213153
9_66_11_1,90.5365823,23.71518749,7.303370787,31.84681417,290.9287345,106.7030194,0.366766863,118.9303331
9_29_11_2,90.49770912,33.77759958,18.6440678,41.3339344,321.8632875,172.7559495,0.536737044,118.6465232
10_5_50_3,90.4003606,35.02788469,18.90243902,50.29741647,329.1583942,378.8324223,1.150912232,118.6691299
9_83_21_5,90.3545309,27.6167652,8.522727273,31.69170821,131.8633537,114.7656355,0.870337605,118.6839913
9_66_21_2,90.34828792,27.92985081,10.24096386,57.75694124,109.979384,151.6948203,1.379302327,118.4205164
9_64_21_2,90.34634978,36.69943556,18.94736842,47.74050517,148.2853448,182.4868309,1.230646435,118.097786
9_97_21_3,90.34350994,19.8486085,1.724137931,23.3339786,60.44390177,44.5568909,0.737161063,118.6884069
9_80_21_1,90.23040786,23.32986077,5.056179775,29.34279552,19.54902284,167.5219723,8.569327156,118.9681204
9_80_21_2,90.14826924,21.664812,3.409090909,24.10188981,25.31294958,89.01473785,3.51656916,118.5555957
10_83_50_0,90.13837854,31.45220552,15.73033708,46.97340989,349.1698111,426.039558,1.220150037,118.8876316
10_79_47_0,90.07535926,36.21991956,20.57142857,64.7430045,458.436031,627.4084362,1.368584478,118.7495007
10_5_50_0,90.05982137,36.34593559,11.04651163,55.72053839,114.8358067,246.2777518,2.14460767,118.9903456
9_83_21_0,89.93630449,38.61166629,13.63636364,57.43821188,302.5138198,478.4457978,1.581566747,119.0160168
9_39_21_1,89.74502351,102.3296591,12.82051282,91.655719,566.3528387,2122.025258,3.7468255,118.0653081
9_62_45_0,89.69691214,30.29005965,7.954545455,53.99734118,266.7848215,339.7839713,1.273625574,118.5684504
9_66_42_0,89.66080182,25.01045158,9.333333333,54.37699796,61.39876711,885.3582826,14.41980555,118.8166199
9_96_21_1,89.54207845,20.98696073,0.564971751,22.21603002,36.17387605,34.93919041,0.96586803,118.6775391
9_8_45_0,89.4636296,45.14901781,27.38853503,49.66828262,82.80986371,312.6336261,3.775318689,118.9765351
9_62_21_3,89.45543103,27.11571351,4.597701149,47.23212437,343.4113864,160.8737111,0.468457708,118.8109032
9_62_21_6,89.41193155,29.67393825,4.519774011,45.58829334,172.5222205,329.3278638,1.908901142,119.0405763
9_38_21_5,89.38092681,33.19220251,17.61363636,50.32187078,354.2891121,463.1993277,1.307404918,118.6608208
9_83_21_1,89.34370999,27.41213933,9.714285714,35.46017562,182.4291126,83.75953836,0.459134714,118.9053416
10_3_50_1,89.33734018,21.32407782,2.325581395,21.62956513,36.99474563,80.65474927,2.180167694,118.9794732
9_39_21_0,89.31309967,24.69975701,7.352941176,38.94811115,84.69585426,442.1461784,5.220399301,118.6971024
9_80_21_3,89.28628091,21.0063609,2.352941176,22.12250832,38.3642036,23.79667962,0.620283425,118.9379357
9_83_21_2,89.24009013,28.22313968,9.142857143,39.01794761,144.1728789,128.2014631,0.889220387,118.5330707
9_64_21_1,89.18902574,37.67627339,22.98850575,46.38146569,95.87191836,415.1215191,4.329959452,116.8904479
10_3_50_0,89.18651771,100.1389421,10.37735849,98.13511571,47.75577819,90.54996061,1.896104808,118.7687836
10_83_50_2,89.08674365,34.65589624,19.52662722,40.04956051,305.9259028,328.3439851,1.073279451,118.4769489
10_104_47_1,89.00470017,20.40101163,2.395209581,40.97573312,66.91595979,95.80405187,1.431707057,118.9117127
9_95_21_2,88.99571925,17.67604856,1.142857143,26.3359203,19.708085,81.93185079,4.157271027,118.7077053
9_95_21_3,88.99571925,14.06793062,0.568181818,18.46987094,27.1403339,108.4563879,3.996133146,118.9995187
9_97_21_2,88.99509935,18.16465948,0.574712644,18.61446534,63.18243105,31.56446096,0.499576551,118.5274053
9_49_11_1,88.98927706,32.55456677,12.57142857,46.32632251,513.0168715,139.0356656,0.271015776,118.9384918
10_49_47_0,88.95878521,38.18715188,14.70588235,69.49151498,192.3862472,344.3226475,1.789746682,117.5784067
10_5_50_2,88.92624676,28.90592445,11.11111111,45.6418352,89.74586734,192.7271236,2.147476305,119.0907255
9_80_21_6,88.92608848,22.66778463,2.325581395,20.23544582,14.80643967,58.33800619,3.940042811,118.5555957
9_80_21_4,88.8755856,25.56640794,5.780346821,33.94418236,12.42164756,126.4705937,10.18146692,118.978182
9_39_11_0,88.85124902,30.75965319,12.76595745,53.50076859,133.9122107,414.8839525,3.098178652,118.7301117
9_29_42_0,88.85094696,83.26797027,13.91304348,96.00054542,320.6759894,342.2768645,1.067360438,118.9305605
9_66_11_0,88.83228481,27.6794006,9.195402299,40.44010868,284.6552973,215.4302232,0.75681087,119.0611253
9_97_11_1,88.81093226,21.85572292,4.597701149,47.34211858,104.8998311,250.5289353,2.388268243,118.9284334
9_38_21_2,88.80250875,37.85596955,18.49710983,55.26298931,170.4744129,164.1210411,0.962731229,118.4700801
9_93_21_3,88.75073723,22.22784461,1.156069364,35.49059183,95.67061854,127.3646012,1.331282301,118.5243358
9_85_21_7,88.73503511,14.88129335,0.568181818,24.5128882,38.77676362,18.34337542,0.473050706,119.1392957
9_38_21_3,88.71127048,35.99665174,20.57142857,44.91957535,359.8333592,149.0206798,0.414138034,118.5604309
9_56_21_6,88.62990392,33.64344698,20.51282051,45.33755896,19.25880352,74.34946656,3.860544424,117.8576257
9_62_21_1,88.57095953,30.015703,7.01754386,49.05370747,122.0609932,236.4727636,1.937332782,119.15042
9_79_21_5,88.49500147,55.6620887,31.75675676,73.51399447,632.6618681,227.7517538,0.359989696,118.8366144
9_80_21_7,88.4810003,25.145324,4.571428571,25.17452178,16.92359539,58.24825431,3.441836854,118.8473815
9_49_11_0,88.43265884,31.27039616,14.45086705,42.04843622,213.8068699,218.1399865,1.020266498,118.5460884
9_49_21_4,88.41517,30.24323513,13.01775148,47.01027924,151.1093617,267.978674,1.773408815,118.3404605
9_50_21_0,88.37352804,28.62834067,5.063291139,46.45390461,105.7931513,550.8032635,5.206417022,118.644126
9_62_21_2,88.3608744,25.31696696,4.624277457,48.56312877,170.1288486,203.2612918,1.194749118,119.0605479
9_85_11_0,88.34197001,13.71160639,0.571428571,22.30703181,25.26346667,47.66827562,1.886846182,118.5554598
9_96_45_0,88.31376875,22.22931104,1.183431953,28.87760797,62.98651181,30.29038864,0.48090278,119.1233742
10_104_50_0,88.27329903,19.78200418,1.734104046,33.65263512,75.66969587,125.5900389,1.659713806,118.8132706
9_62_42_0,88.23083907,52.49727922,9.580838323,89.35178637,257.8368755,312.7368666,1.212925288,118.4758611
9_83_11_0,88.11026077,64.50159568,21.59090909,74.27986214,562.6252047,323.4888124,0.574963243,119.1514329
9_80_21_5,88.06749459,25.29809958,5.747126437,35.815181,52.3730322,93.65686419,1.788265072,118.6159651
9_24_11_0,87.98896432,26.27642584,1.694915254,35.47753883,43.71708771,97.8087665,2.237312036,118.4644995
9_97_21_6,87.96425133,23.46129268,3.488372093,23.398187,126.1191613,35.45424701,0.281117054,118.6783443
